HUD frame time nsec:,111261000

Range Index,Elapsed Time, First Event,Last Event
112,768,1311,1311
113,1216,1323,1323
114,1280,1335,1335
115,1216,1347,1347
116,3904,1359,1359
117,1184,1371,1371
118,1472,1383,1383
119,1184,1395,1395
120,1600,1407,1407
121,2048,1419,1419
122,1504,1431,1431
123,6080,1443,1443
124,4768,1455,1455
125,3584,1467,1467
126,3168,1479,1479
127,3104,1491,1491
128,2528,1503,1503
129,928,1515,1515
130,1920,1527,1527
131,2208,1539,1539
132,1792,1551,1551
133,3040,1563,1563
134,1632,1575,1575
135,4224,1587,1587
136,3136,1599,1599
137,3104,1611,1611
138,2080,1623,1623
139,768,1635,1635
140,1792,1647,1647
141,2528,1659,1659
142,5920,1671,1671
143,3520,1683,1683
144,4192,1695,1695
145,3872,1707,1707
146,4192,1719,1719
147,4480,1731,1731
148,3648,1743,1743
149,3136,1755,1755
150,4160,1767,1767
151,3712,1779,1779
152,3392,1791,1791
153,4000,1803,1803
154,3040,1815,1815
155,1344,1827,1827
156,1088608,1839,1839
157,1248,1851,1851
158,2560,1863,1863
159,1248,1875,1875
160,3360,1887,1887
161,1280,1899,1899
162,1312,1911,1911
163,1312,1923,1923
164,1312,1935,1935
165,1312,1947,1947
166,1248,1959,1959
167,1248,1971,1971
168,1280,1983,1983
169,1248,1995,1995
170,1312,2007,2007
171,1472,2019,2019
172,3360,2031,2031
173,2304,2043,2043
174,2336,2055,2055
175,3104,2067,2067
176,2784,2079,2079
177,4832,2091,2091
178,3904,2103,2103
179,2272,2115,2115
180,3744,2127,2127
181,3616,2139,2139
182,4352,2151,2151
183,3584,2163,2163
184,1920,2175,2175
185,2528,2187,2187
186,2464,2199,2199
187,3168,2211,2211
188,1248,2223,2223
189,2080,2235,2235
190,2176,2247,2247
191,4128,2259,2259
192,4544,2271,2271
193,5056,2283,2283
194,4544,2295,2295
195,4352,2307,2307
196,3904,2319,2319
197,4352,2331,2331
198,4128,2343,2343
199,3520,2355,2355
200,3744,2367,2367
201,2560,2379,2379
202,3424,2391,2391
203,2880,2403,2403
204,1280,2415,2415
205,1216,2427,2427
206,3840,2439,2439
207,1408,2451,2451
208,1216,2463,2463
209,1248,2475,2475
210,1216,2487,2487
211,1184,2499,2499
212,1216,2511,2511
213,1952,2523,2523
214,4384,2535,2535
215,1216,2547,2547
216,1216,2559,2559
217,1216,2571,2571
218,2880,2583,2583
219,2112,2595,2595
220,1408,2607,2607
221,1184,2619,2619
222,2816,2631,2631
223,2816,2643,2643
224,2016,2655,2655
225,1280,2667,2667
226,2816,2679,2679
227,2752,2691,2691
228,3072,2703,2703
229,2848,2715,2715
230,1344,2727,2727
231,1184,2739,2739
232,3616,2751,2751
233,3200,2763,2763
234,1376,2775,2775
235,4864,2787,2787
236,4416,2799,2799
237,3968,2811,2811
238,4128,2823,2823
239,4800,2835,2835
240,4192,2847,2847
241,4576,2859,2859
242,4608,2871,2871
243,4288,2883,2883
244,2880,2895,2895
245,3456,2907,2907
246,800,2919,2919
247,2080,2931,2931
248,2848,2943,2943
249,3360,2955,2955
250,2240,2967,2967
251,2976,2979,2979
252,2976,2991,2991
253,1504,3003,3003
254,1856,3015,3015
255,2144,3027,3027
256,4768,3039,3039
257,4576,3051,3051
258,4416,3063,3063
259,3840,3075,3075
260,3968,3087,3087
261,4064,3099,3099
262,4288,3111,3111
263,3840,3123,3123
264,3872,3135,3135
265,3200,3147,3147
266,3680,3159,3159
267,3040,3171,3171
268,1600,3183,3183
269,2592,3195,3195
270,1248,3207,3207
271,1248,3219,3219
272,2048,3231,3231
273,960,3243,3243
274,1824,3255,3255
275,1504,3267,3267
276,1760,3279,3279
277,5280,3291,3291
278,1440,3303,3303
279,1120,3315,3315
280,1600,3327,3327
281,5472,3339,3339
282,736,3351,3351
283,1216,3363,3363
284,3392,3375,3375
285,1856,3387,3387
286,928,3399,3399
287,2144,3411,3411
288,2304,3423,3423
289,1984,3435,3435
290,2560,3447,3447
291,3680,3459,3459
292,2144,3471,3471
293,2912,3483,3483
294,3200,3495,3495
295,1760,3507,3507
296,1280,3519,3519
297,1856,3531,3531
298,2240,3543,3543
299,2304,3555,3555
300,3520,3567,3567
301,1216,3579,3579
302,5184,3591,3591
303,3232,3603,3603
304,2848,3615,3615
305,3264,3627,3627
306,3104,3639,3639
307,3264,3651,3651
308,1888,3663,3663
309,328576,3665,3665
