HUD frame time nsec:,111261000

Range Index,Elapsed Time, First Event,Last Event
0,15520,10,10
1,20288,18,18
2,1440,26,26
3,1824,31,31
4,15616,36,36
5,1376,41,41
6,1440,46,46
7,1216,51,51
8,800,56,56
9,1280,75,75
10,704,87,87
11,1216,99,99
12,672,111,111
13,2752,123,123
14,4064,135,135
15,4480,147,147
16,4576,159,159
17,4896,171,171
18,4416,183,183
19,4640,195,195
20,4384,207,207
21,5056,219,219
22,5280,231,231
23,4448,243,243
24,3776,255,255
25,4256,267,267
26,4064,279,279
27,4512,291,291
28,4000,303,303
29,3680,315,315
30,3200,327,327
31,3616,339,339
32,2432,351,351
33,3424,363,363
34,2752,375,375
35,736,387,387
36,1216,399,399
37,1600,411,411
38,1216,423,423
39,1184,435,435
40,1408,447,447
41,1248,459,459
42,4768,471,471
43,2560,483,483
44,2656,495,495
45,2400,507,507
46,1632,519,519
47,1248,531,531
48,2464,543,543
49,1920,555,555
50,2368,567,567
51,4128,579,579
52,1184,591,591
53,1856,603,603
54,1216,615,615
55,2080,627,627
56,1472,639,639
57,1184,651,651
58,2784,663,663
59,2720,675,675
60,3296,687,687
61,4800,699,699
62,4416,711,711
63,4064,723,723
64,4224,735,735
65,3552,747,747
66,2688,759,759
67,3296,771,771
68,3296,783,783
69,1280,795,795
70,4096,807,807
71,3424,819,819
72,704,831,831
73,1216,843,843
74,3296,855,855
75,1248,867,867
76,1280,879,879
77,1472,891,891
78,1216,903,903
79,1312,915,915
80,2560,927,927
81,1408,939,939
82,1376,951,951
83,1440,963,963
84,1472,975,975
85,2656,987,987
86,1632,999,999
87,1184,1011,1011
88,2016,1023,1023
89,3584,1035,1035
90,5280,1047,1047
91,4800,1059,1059
92,4288,1071,1071
93,4832,1083,1083
94,4576,1095,1095
95,4928,1107,1107
96,4288,1119,1119
97,5472,1131,1131
98,4160,1143,1143
99,4704,1155,1155
100,4864,1167,1167
101,4064,1179,1179
102,2656,1191,1191
103,3840,1203,1203
104,4128,1215,1215
105,3552,1227,1227
106,3840,1239,1239
107,3808,1251,1251
108,3776,1263,1263
109,3264,1275,1275
110,3200,1287,1287
111,3200,1299,1299
