HUD frame time nsec:,91177000

Range Index,Elapsed Time, First Event,Last Event
0,16608,10,10
1,19968,18,18
2,1184,26,26
3,768,31,31
4,31296,36,36
5,704,41,41
6,672,46,46
7,704,51,51
8,672,56,56
9,9600,70,70
10,8288,78,78
11,8512,86,86
12,9376,94,94
13,9856,102,102
14,9664,110,110
15,9472,118,118
16,8640,126,126
17,11872,134,134
18,9504,142,142
19,9920,150,150
20,16896,158,158
21,14272,166,166
22,17376,174,174
23,11712,182,182
24,11680,190,190
25,12224,198,198
26,12288,206,206
27,14784,214,214
28,12288,222,222
29,9568,230,230
30,10816,238,238
31,9152,246,246
32,10528,254,254
33,10656,262,262
34,10016,270,270
35,5952,278,278
36,5984,286,286
37,6368,294,294
38,6464,302,302
39,5856,310,310
40,5632,318,318
41,5984,326,326
42,10336,334,334
43,10176,342,342
44,11136,350,350
45,8832,358,358
46,8000,366,366
47,8288,374,374
48,9120,382,382
49,9696,390,390
50,10272,398,398
51,11392,406,406
52,7232,414,414
53,8416,422,422
54,7648,430,430
55,7424,438,438
56,7520,446,446
57,7680,454,454
58,9056,462,462
59,9248,470,470
60,8096,478,478
61,8864,486,486
62,7040,494,494
63,7520,502,502
64,7232,510,510
65,7360,518,518
66,6944,526,526
67,8032,534,534
68,7328,542,542
69,7424,550,550
70,12416,558,558
71,10848,566,566
72,7744,574,574
73,8128,582,582
74,6816,590,590
75,9568,598,598
76,5888,606,606
77,7616,614,614
78,6400,622,622
79,5888,630,630
80,7072,638,638
81,5600,646,646
82,6112,654,654
83,5664,662,662
84,5888,670,670
85,5760,678,678
86,6208,686,686
87,6336,694,694
88,7840,702,702
89,6016,710,710
90,15232,718,718
91,12448,726,726
92,12192,734,734
93,12704,742,742
94,14976,750,750
95,14784,758,758
96,11552,766,766
97,10688,774,774
98,14144,782,782
99,12960,790,790
100,14528,798,798
101,7488,806,806
102,7584,814,814
103,7552,822,822
104,9408,830,830
105,14624,838,838
106,10976,846,846
107,11328,854,854
108,10272,862,862
109,10752,870,870
110,10304,878,878
111,10176,886,886
112,6464,894,894
113,6336,902,902
114,5824,910,910
115,6368,918,918
116,7296,926,926
117,7712,934,934
118,6272,942,942
119,5824,950,950
120,6496,958,958
121,6080,966,966
122,6272,974,974
123,10368,982,982
124,10912,990,990
125,10176,998,998
126,8768,1006,1006
127,9600,1014,1014
128,9024,1022,1022
129,7456,1030,1030
130,8672,1038,1038
131,6400,1046,1046
132,8160,1054,1054
133,8928,1062,1062
134,8736,1070,1070
135,10496,1078,1078
136,11328,1086,1086
137,11008,1094,1094
138,8512,1102,1102
139,7712,1110,1110
140,7744,1118,1118
141,7808,1126,1126
142,11488,1134,1134
143,12256,1142,1142
144,9696,1150,1150
145,11488,1158,1158
146,7200,1166,1166
147,7520,1174,1174
148,6880,1182,1182
149,8576,1190,1190
150,7104,1198,1198
151,7232,1206,1206
152,6528,1214,1214
153,6272,1222,1222
154,6368,1230,1230
155,7168,1238,1238
156,6400,1246,1246
157,9120,1254,1254
158,9600,1262,1262
159,7968,1270,1270
160,10208,1278,1278
161,5888,1286,1286
162,7968,1294,1294
163,6176,1302,1302
164,6400,1310,1310
165,5920,1318,1318
166,5632,1326,1326
167,6240,1334,1334
168,5824,1342,1342
169,6016,1350,1350
170,6016,1358,1358
171,5856,1366,1366
172,9312,1374,1374
173,9888,1382,1382
174,9568,1390,1390
175,11584,1398,1398
176,12128,1406,1406
177,14912,1414,1414
178,14368,1422,1422
179,7488,1430,1430
180,9248,1438,1438
181,10880,1446,1446
182,10688,1454,1454
183,10240,1462,1462
184,9632,1470,1470
185,9984,1478,1478
186,9472,1486,1486
187,9856,1494,1494
188,9120,1502,1502
189,9952,1510,1510
190,9664,1518,1518
191,9120,1526,1526
192,13184,1534,1534
193,12992,1542,1542
194,12832,1550,1550
195,12992,1558,1558
196,13088,1566,1566
197,13152,1574,1574
198,11648,1582,1582
199,11520,1590,1590
200,11040,1598,1598
201,10656,1606,1606
202,10560,1614,1614
203,6880,1622,1622
204,8352,1630,1630
205,8576,1638,1638
206,6816,1646,1646
207,6720,1654,1654
208,6080,1662,1662
209,5664,1670,1670
210,5632,1678,1678
211,6144,1686,1686
212,6432,1694,1694
213,6464,1702,1702
214,10368,1710,1710
215,6432,1718,1718
216,6976,1726,1726
217,5888,1734,1734
218,9056,1742,1742
219,9088,1750,1750
220,8960,1758,1758
221,8160,1766,1766
222,9312,1774,1774
223,9568,1782,1782
224,9760,1790,1790
225,9120,1798,1798
226,9248,1806,1806
227,10272,1814,1814
228,10112,1822,1822
229,10112,1830,1830
230,7360,1838,1838
231,6624,1846,1846
232,9664,1854,1854
233,10208,1862,1862
234,9920,1870,1870
235,8512,1878,1878
236,10688,1886,1886
237,8032,1894,1894
238,12096,1902,1902
239,16352,1910,1910
240,7584,1918,1918
241,10240,1926,1926
242,9952,1934,1934
243,8896,1942,1942
244,12608,1950,1950
245,11072,1958,1958
246,9824,1966,1966
247,8576,1974,1974
248,9280,1982,1982
249,9152,1990,1990
250,10048,1998,1998
251,10272,2006,2006
252,10144,2014,2014
253,9664,2022,2022
254,9152,2030,2030
255,9856,2038,2038
256,9760,2046,2046
257,9248,2054,2054
258,13664,2062,2062
259,10368,2070,2070
260,13216,2078,2078
261,12832,2086,2086
262,12800,2094,2094
263,11808,2102,2102
264,11104,2110,2110
265,11328,2118,2118
