HUD frame time nsec:,91177000

Range Index,Elapsed Time, First Event,Last Event
266,10656,2126,2126
267,10752,2134,2134
268,6560,2142,2142
269,6976,2150,2150
270,6208,2158,2158
271,8448,2166,2166
272,6592,2174,2174
273,5600,2182,2182
274,5632,2190,2190
275,5984,2198,2198
276,6400,2206,2206
277,8096,2214,2214
278,7968,2222,2222
279,7840,2230,2230
280,6464,2238,2238
281,9408,2246,2246
282,6240,2254,2254
283,6368,2262,2262
284,9120,2270,2270
285,8864,2278,2278
286,7584,2286,2286
287,8512,2294,2294
288,7424,2302,2302
289,7840,2310,2310
290,7264,2318,2318
291,6912,2326,2326
292,7968,2334,2334
293,9696,2342,2342
294,9632,2350,2350
295,9280,2358,2358
296,7584,2366,2366
297,5824,2374,2374
298,6336,2382,2382
299,5984,2390,2390
300,6048,2398,2398
301,7232,2406,2406
302,10336,2414,2414
303,10176,2422,2422
304,10048,2430,2430
305,10272,2438,2438
306,10368,2446,2446
307,10144,2454,2454
308,3648,2462,2462
309,714656,2464,2464
