HUD frame time nsec:,77203000

Range Index,Elapsed Time, First Event,Last Event
0,15648,10,10
1,20064,18,18
2,928,26,26
3,704,31,31
4,31392,36,36
5,704,41,41
6,704,46,46
7,704,51,51
8,672,56,56
9,10560,75,75
10,8704,87,87
11,8864,99,99
12,9600,111,111
13,10016,123,123
14,10016,135,135
15,11008,147,147
16,9600,159,159
17,12416,171,171
18,9952,183,183
19,10400,195,195
20,14368,207,207
21,14304,219,219
22,15104,231,231
23,12032,243,243
24,12288,255,255
25,12480,267,267
26,13152,279,279
27,14048,291,291
28,12512,303,303
29,10144,315,315
30,10624,327,327
31,10144,339,339
32,10912,351,351
33,10944,363,363
34,10688,375,375
35,6240,387,387
36,6560,399,399
37,6816,411,411
38,6784,423,423
39,6368,435,435
40,6208,447,447
41,7488,459,459
42,10752,471,471
43,10560,483,483
44,11712,495,495
45,9280,507,507
46,8768,519,519
47,8928,531,531
48,9408,543,543
49,10496,555,555
50,10528,567,567
51,11744,579,579
52,7264,591,591
53,9056,603,603
54,8480,615,615
55,8224,627,627
56,8320,639,639
57,8416,651,651
58,9568,663,663
59,10368,675,675
60,9088,687,687
61,9184,699,699
62,8064,711,711
63,8000,723,723
64,8000,735,735
65,8256,747,747
66,7680,759,759
67,8736,771,771
68,8768,783,783
69,9184,795,795
70,16864,807,807
71,11552,819,819
72,8576,831,831
73,9312,843,843
74,7232,855,855
75,9728,867,867
76,6432,879,879
77,7328,891,891
78,6848,903,903
79,6304,915,915
80,11200,927,927
81,6240,939,939
82,6464,951,951
83,5888,963,963
84,6272,975,975
85,6272,987,987
86,6624,999,999
87,6784,1011,1011
88,8064,1023,1023
89,6304,1035,1035
90,14496,1047,1047
91,12960,1059,1059
92,12896,1071,1071
93,13728,1083,1083
94,15616,1095,1095
95,14272,1107,1107
96,13056,1119,1119
97,11392,1131,1131
98,14528,1143,1143
99,13632,1155,1155
100,14048,1167,1167
101,8544,1179,1179
102,8512,1191,1191
103,8224,1203,1203
104,9408,1215,1215
105,14560,1227,1227
106,12224,1239,1239
107,11520,1251,1251
108,10752,1263,1263
109,11008,1275,1275
110,10912,1287,1287
111,10688,1299,1299
112,6720,1311,1311
113,6368,1323,1323
114,5952,1335,1335
115,7136,1347,1347
116,8352,1359,1359
117,8672,1371,1371
118,7648,1383,1383
119,6272,1395,1395
120,6272,1407,1407
121,6240,1419,1419
122,6336,1431,1431
123,11392,1443,1443
124,11104,1455,1455
125,10688,1467,1467
126,9184,1479,1479
127,10336,1491,1491
128,9504,1503,1503
129,7808,1515,1515
130,8640,1527,1527
131,6880,1539,1539
132,8608,1551,1551
133,9376,1563,1563
134,8960,1575,1575
135,9952,1587,1587
136,10784,1599,1599
137,11648,1611,1611
138,9088,1623,1623
139,8064,1635,1635
140,8832,1647,1647
141,8512,1659,1659
142,12608,1671,1671
143,11776,1683,1683
144,11104,1695,1695
145,12640,1707,1707
146,8096,1719,1719
147,8256,1731,1731
148,8032,1743,1743
149,9824,1755,1755
150,8032,1767,1767
151,8224,1779,1779
152,7392,1791,1791
153,7328,1803,1803
154,7616,1815,1815
155,7680,1827,1827
156,8064,1839,1839
157,9568,1851,1851
158,10592,1863,1863
159,9088,1875,1875
160,10272,1887,1887
161,6080,1899,1899
162,8672,1911,1911
163,6272,1923,1923
164,6208,1935,1935
165,6304,1947,1947
166,6016,1959,1959
167,6208,1971,1971
168,6240,1983,1983
169,6592,1995,1995
170,6304,2007,2007
171,6336,2019,2019
172,10368,2031,2031
173,10496,2043,2043
174,9952,2055,2055
175,12288,2067,2067
176,11328,2079,2079
177,14144,2091,2091
178,14912,2103,2103
179,8864,2115,2115
180,9152,2127,2127
181,11392,2139,2139
182,11136,2151,2151
183,11264,2163,2163
184,10816,2175,2175
185,10880,2187,2187
186,10112,2199,2199
187,10656,2211,2211
188,9696,2223,2223
189,11008,2235,2235
190,10240,2247,2247
191,10016,2259,2259
192,13568,2271,2271
193,13408,2283,2283
194,13472,2295,2295
195,12800,2307,2307
196,12544,2319,2319
197,12896,2331,2331
198,14656,2343,2343
199,11456,2355,2355
200,10528,2367,2367
201,11296,2379,2379
202,10752,2391,2391
203,8448,2403,2403
204,7552,2415,2415
205,6720,2427,2427
206,7808,2439,2439
207,6848,2451,2451
208,6112,2463,2463
209,6336,2475,2475
210,5856,2487,2487
211,6560,2499,2499
212,6880,2511,2511
213,6752,2523,2523
214,10720,2535,2535
215,6944,2547,2547
216,8640,2559,2559
217,6272,2571,2571
218,9600,2583,2583
219,9664,2595,2595
220,8096,2607,2607
221,7808,2619,2619
222,8896,2631,2631
223,9920,2643,2643
224,10240,2655,2655
225,14304,2667,2667
226,9312,2679,2679
227,10720,2691,2691
228,10464,2703,2703
229,10496,2715,2715
230,7712,2727,2727
231,6720,2739,2739
232,10016,2751,2751
233,10464,2763,2763
234,10176,2775,2775
235,9760,2787,2787
236,11360,2799,2799
237,9088,2811,2811
238,11648,2823,2823
239,15200,2835,2835
240,8288,2847,2847
241,11488,2859,2859
242,10048,2871,2871
243,8960,2883,2883
244,13632,2895,2895
245,10688,2907,2907
246,10752,2919,2919
247,9376,2931,2931
248,10560,2943,2943
249,9504,2955,2955
250,10944,2967,2967
251,10752,2979,2979
252,12320,2991,2991
253,10144,3003,3003
254,9824,3015,3015
255,10144,3027,3027
256,9632,3039,3039
