HUD frame time nsec:,77203000

Range Index,Elapsed Time, First Event,Last Event
257,9408,3051,3051
258,13536,3063,3063
259,11296,3075,3075
260,13504,3087,3087
261,13440,3099,3099
262,13536,3111,3111
263,12768,3123,3123
264,11424,3135,3135
265,10368,3147,3147
266,11104,3159,3159
267,10848,3171,3171
268,7264,3183,3183
269,8320,3195,3195
270,6784,3207,3207
271,8704,3219,3219
272,8160,3231,3231
273,6208,3243,3243
274,6368,3255,3255
275,6240,3267,3267
276,6240,3279,3279
277,9120,3291,3291
278,8832,3303,3303
279,7264,3315,3315
280,6976,3327,3327
281,13120,3339,3339
282,6432,3351,3351
283,6880,3363,3363
284,9792,3375,3375
285,9536,3387,3387
286,8288,3399,3399
287,8736,3411,3411
288,7808,3423,3423
289,8992,3435,3435
290,11552,3447,3447
291,8800,3459,3459
292,8416,3471,3471
293,10080,3483,3483
294,10304,3495,3495
295,9312,3507,3507
296,7776,3519,3519
297,6144,3531,3531
298,6688,3543,3543
299,6368,3555,3555
300,6400,3567,3567
301,7456,3579,3579
302,10720,3591,3591
303,10592,3603,3603
304,10432,3615,3615
305,10688,3627,3627
306,10656,3639,3639
307,11008,3651,3651
308,9280,3663,3663
309,876608,3665,3665
