HUD frame time nsec:,98562000

Range Index,Elapsed Time, First Event,Last Event
0,15808,10,10
1,17504,18,18
2,1952,26,26
3,2400,31,31
4,8640,36,36
5,672,41,41
6,1216,46,46
7,704,51,51
8,1216,56,56
9,704,70,70
10,800,78,78
11,704,86,86
12,704,94,94
13,2688,102,102
14,4064,110,110
15,3584,118,118
16,3296,126,126
17,3328,134,134
18,3392,142,142
19,4160,150,150
20,2752,158,158
21,3040,166,166
22,3040,174,174
23,3264,182,182
24,3232,190,190
25,2688,198,198
26,2784,206,206
27,2976,214,214
28,3680,222,222
29,3040,230,230
30,2528,238,238
31,2880,246,246
32,2272,254,254
33,2208,262,262
34,1760,270,270
35,1344,278,278
36,2208,286,286
37,2336,294,294
38,1536,302,302
39,2688,310,310
40,2464,318,318
41,2976,326,326
42,5280,334,334
43,3712,342,342
44,3424,350,350
45,2464,358,358
46,1984,366,366
47,2048,374,374
48,3776,382,382
49,3264,390,390
50,3552,398,398
51,2272,406,406
52,1216,414,414
53,2272,422,422
54,1600,430,430
55,2560,438,438
56,2944,446,446
57,1440,454,454
58,2336,462,462
59,2304,470,470
60,4128,478,478
61,3200,486,486
62,3520,494,494
63,2976,502,502
64,3200,510,510
65,3360,518,518
66,3296,526,526
67,3232,534,534
68,3488,542,542
69,3008,550,550
70,2976,558,558
71,3136,566,566
72,992,574,574
73,2592,582,582
74,768,590,590
75,2496,598,598
76,2112,606,606
77,2112,614,614
78,1568,622,622
79,2208,630,630
80,2592,638,638
81,1568,646,646
82,2560,654,654
83,3072,662,662
84,3072,670,670
85,3072,678,678
86,2496,686,686
87,4032,694,694
88,3392,702,702
89,2272,710,710
90,3840,718,718
91,2432,726,726
92,2272,734,734
93,2528,742,742
94,3488,750,750
95,3040,758,758
96,2912,766,766
97,9120,774,774
98,1248,782,782
99,704,790,790
100,704,798,798
101,2240,806,806
102,3008,814,814
103,4064,822,822
104,2784,830,830
105,2752,838,838
106,2080,846,846
107,1280,854,854
108,7264,862,862
109,1216,870,870
110,672,878,878
111,704,886,886
112,1312,894,894
113,1376,902,902
114,7520,910,910
115,1216,918,918
116,736,926,926
117,672,934,934
118,1152,942,942
119,1248,950,950
120,2080,958,958
121,2624,966,966
122,2816,974,974
123,7648,982,982
124,1312,990,990
125,1216,998,998
126,704,1006,1006
127,1664,1014,1014
128,1824,1022,1022
129,2048,1030,1030
130,3008,1038,1038
131,1664,1046,1046
132,2560,1054,1054
133,2752,1062,1062
134,2592,1070,1070
135,2592,1078,1078
136,2400,1086,1086
137,2464,1094,1094
138,3104,1102,1102
139,2688,1110,1110
140,2880,1118,1118
141,2944,1126,1126
142,3744,1134,1134
143,1536,1142,1142
144,2240,1150,1150
145,3936,1158,1158
146,3808,1166,1166
147,3040,1174,1174
148,3456,1182,1182
149,1888,1190,1190
150,2528,1198,1198
151,2176,1206,1206
152,2944,1214,1214
153,2816,1222,1222
154,3424,1230,1230
155,1248,1238,1238
156,1376,1246,1246
157,2752,1254,1254
158,1952,1262,1262
159,2784,1270,1270
160,1856,1278,1278
161,2304,1286,1286
162,2240,1294,1294
163,2048,1302,1302
164,2528,1310,1310
165,2400,1318,1318
166,3360,1326,1326
167,1952,1334,1334
168,2688,1342,1342
169,2816,1350,1350
170,2784,1358,1358
171,2912,1366,1366
172,2688,1374,1374
173,2176,1382,1382
174,2624,1390,1390
175,4544,1398,1398
176,2368,1406,1406
177,2432,1414,1414
178,3168,1422,1422
179,2688,1430,1430
180,2784,1438,1438
181,2592,1446,1446
182,2176,1454,1454
183,1664,1462,1462
184,1472,1470,1470
185,3328,1478,1478
186,1888,1486,1486
187,2272,1494,1494
188,1248,1502,1502
189,2944,1510,1510
190,1984,1518,1518
191,4608,1526,1526
192,3008,1534,1534
193,2752,1542,1542
194,1792,1550,1550
195,2848,1558,1558
196,2496,1566,1566
197,2496,1574,1574
198,2240,1582,1582
199,2880,1590,1590
200,2592,1598,1598
201,1952,1606,1606
202,2560,1614,1614
203,3008,1622,1622
204,1280,1630,1630
205,7648,1638,1638
206,704,1646,1646
207,1568,1654,1654
208,672,1662,1662
209,1696,1670,1670
210,2880,1678,1678
