HUD frame time nsec:,111378000

Range Index,Elapsed Time, First Event,Last Event
0,15808,10,10
1,21888,18,18
2,1664,26,26
3,1344,31,31
4,30464,36,36
5,1280,41,41
6,736,46,46
7,704,51,51
8,896,56,56
9,1472,75,75
10,3328,87,87
11,5952,99,99
12,1632,111,111
13,3936,123,123
14,3104,135,135
15,4672,147,147
16,5760,159,159
17,5248,171,171
18,6272,183,183
19,3552,195,195
20,4640,207,207
21,6336,219,219
22,6176,231,231
23,5312,243,243
24,3904,255,255
25,4288,267,267
26,4512,279,279
27,5664,291,291
28,4288,303,303
29,4000,315,315
30,3872,327,327
31,3392,339,339
32,3712,351,351
33,4320,363,363
34,3744,375,375
35,800,387,387
36,2144,399,399
37,1920,411,411
38,1600,423,423
39,2464,435,435
40,1408,447,447
41,3520,459,459
42,2752,471,471
43,4608,483,483
44,2240,495,495
45,2176,507,507
46,1472,519,519
47,1248,531,531
48,2880,543,543
49,2752,555,555
50,3520,567,567
51,4032,579,579
52,1248,591,591
53,2080,603,603
54,2016,615,615
55,2080,627,627
56,2144,639,639
57,3872,651,651
58,3936,663,663
59,2080,675,675
60,4704,687,687
61,5376,699,699
62,3744,711,711
63,4864,723,723
64,4640,735,735
65,3648,747,747
66,4864,759,759
67,4416,771,771
68,2272,783,783
69,1344,795,795
70,5280,807,807
71,3360,819,819
72,1472,831,831
73,1184,843,843
74,2272,855,855
75,3712,867,867
76,1440,879,879
77,2304,891,891
78,1536,903,903
79,2208,915,915
80,3168,927,927
81,2752,939,939
82,2848,951,951
83,2016,963,963
84,2432,975,975
85,2848,987,987
86,2432,999,999
87,2432,1011,1011
88,3456,1023,1023
89,2208,1035,1035
90,7232,1047,1047
91,5664,1059,1059
92,5856,1071,1071
93,5824,1083,1083
94,6080,1095,1095
95,5568,1107,1107
96,5728,1119,1119
97,5536,1131,1131
98,5792,1143,1143
99,6112,1155,1155
100,6144,1167,1167
101,5888,1179,1179
102,5504,1191,1191
103,3968,1203,1203
104,4608,1215,1215
105,5408,1227,1227
106,4448,1239,1239
107,4000,1251,1251
108,2688,1263,1263
109,3424,1275,1275
110,3680,1287,1287
111,3488,1299,1299
112,960,1311,1311
113,1984,1323,1323
114,2016,1335,1335
115,1984,1347,1347
116,1760,1359,1359
117,3520,1371,1371
118,2656,1383,1383
119,1344,1395,1395
120,3584,1407,1407
121,2176,1419,1419
122,3296,1431,1431
123,6464,1443,1443
124,4768,1455,1455
125,4288,1467,1467
126,1312,1479,1479
127,2784,1491,1491
128,3712,1503,1503
129,1632,1515,1515
130,3520,1527,1527
131,1312,1539,1539
132,2496,1551,1551
133,3264,1563,1563
134,1376,1575,1575
135,5856,1587,1587
136,3264,1599,1599
137,3520,1611,1611
138,928,1623,1623
139,2176,1635,1635
140,2464,1647,1647
141,2368,1659,1659
142,6688,1671,1671
143,3872,1683,1683
144,4736,1695,1695
145,3840,1707,1707
146,5344,1719,1719
147,5216,1731,1731
148,4704,1743,1743
149,3488,1755,1755
150,4800,1767,1767
151,3936,1779,1779
152,4608,1791,1791
153,4352,1803,1803
154,4576,1815,1815
155,704,1827,1827
156,1112096,1839,1839
157,2112,1851,1851
158,2528,1863,1863
